# addr	len	jp	ko  ('/'=페이지 구분, 한 페이지 = 한 줄 최대 17음절)
033A02	61	なにや<50>てんた゛、おめえは<91>{대기}{끝}ここは おんなこと゛もの{개행}くるところ し゛<4D>あねえ<8A>{대기}{끝}と<50>とと かえれ<8A>{개행}わか<50>たな<8A><8A>	뭐 하는 거냐 너는/여긴 아녀자가 올 곳이 아니다/썩 돌아가라 알겠나
033A40	14	みつけたわ、とうとう、、、。	찾았다 드디어…
0341D8	28	も<50>と もやしてやろうか<91><8A>{개행}おい<8A> きいてんのか<48><8A><8A>	더 태워줄까 이봐 듣고 있나
0341F5	22	やけと゛か゛ふえるた゛けた゛<8A>{개행}やめときな。	화상만 늘 뿐이다 그만둬라
034214	24	このていと゛て゛すか、、、{개행}しつほ゛うしました。	이 정도입니까 실망했습니다
03422D	22	ふん。 みこ゛とに{개행}きたいはす゛れ て゛す。	훗 보기 좋게 기대 이하로군요
03424C	31	けんほ<93>う は おと゛りの{개행}し<4E>き゛<4F>う し゛<4D>ねえんた゛よ<8A>	권법은 춤사위 흉내가 아니다
03426C	21	くうう、か<50>たあとの さけは{개행}うまいね<4B><8A>	이긴 뒤에 마시는 술은 각별하지
03428A	18	きさまも サ゛コか。{개행}くた゛らんな。	네놈도 잡졸인가 시시하군
03429D	9	カスふた゛めか゛。	쓰레기 같은 놈
0342AF	20	これか゛ しせ゛ん の{개행}ちから て゛す。	이것이 자연의 힘입니다
0342C4	21	しせ゛ん のためにも{개행}まけられない、、、。	자연을 위해서도 질 수는 없어
0342E2	18	あの、、、{개행}ゆるしてくれるよね<50><91><8A>	저기… 용서해 줄 거지
0342F5	27	しせ゛ん は た゛いし゛に{개행}するんた゛よ<8A> わか<50>た<91>	자연은 소중히 다뤄야 해 알겠어
034319	16	これも うんめい。{개행}ゆるされよ<8A>	이것도 운명 용서하시게
03432A	28	おぬしの うて゛ て゛は{개행}かけ゛ きること かなわし゛。	그대 솜씨로는 그림자도 못 베리
034357	18	{개행}この よ に あく は いらない<8A>	이 세상에 악은 필요 없다
034379	18	{개행}あい と へいわ は たいせつさ<8A>	사랑과 평화는 소중하다
034394	17	こ゛めんなさい、{개행}もう、いきます。	미안해요 이만 갈게요
0343A6	14	た゛から い<50>たのに、、、。	그러게 말했잖아…
0343BD	27	われ <47> あか゛めよ<8A>{개행}あたらしき みらい のために<8A>	나를 우러러라 새 미래를 위하여
0343D9	24	そこのもの、かか゛やかしき{개행}われ <47> たたえよ<8A>	거기 그대 빛나는 나를 찬양하라
0343FA	8	ハ゛カめか゛<8A><8A>	어리석은 것
034403	16	われ すなわち{개행}むけ゛ん なり<8A>	나는 곧 무한이니라
03441C	7	、、、、、、。	……
034424	16	あまい、、、コ゛ホ<87>、、、、、。	물러터졌군… 콜록 콜록…
03443D	25	わ<50>は<50>は<50>は<8A>{개행}たけみつ て゛ し゛<4E>うふ゛ん<8A>	와하하하 죽도면 충분하다
034457	25	しんかけ゛り<4E>うの たち{개행}よく きれるて゛あろう。	신카게류의 칼날 잘 들었을 터
034479	11	し゛<4D>ま しないて゛<8A>	방해하지 마
034485	16	もう、こないの、、、{개행}さよなら。	이제 오지 마… 잘 가
0348E6	33	おれは、いそいて゛るんた゛。{개행}さ<50>さと かたつ゛けてやるせ゛<8A>{대기}{끝}	난 바쁘다 얼른 끝내주마
034908	30	よわいやつは たたかうな。{개행}し゛かんの ムタ゛た゛せ゛<8A>{대기}{끝}	약한 놈은 덤벼도 시간 낭비다
034927	18	フ<87>、きたいしていますよ、、、。{대기}{끝}	훗 기대하고 있겠습니다…
03493A	27	フ<87>、あなたには まけるきか゛{개행}しませんね、、、。{대기}{끝}	훗 당신에게 질 것 같지 않군요
034956	19	いいねえ。 あんた つよそうた゛<8A>{대기}{끝}	좋아 당신 강해 보이는군
03496A	16	い<50>ち<4F>う ハテ゛にいくか<8A>{대기}{끝}	한판 화끈하게 가볼까
03497B	15	きにいらん、、、コロす<8A><8A>{대기}{끝}	맘에 안 든다… 죽인다
03498B	15	つまらんな、、、コロす<8A><8A>{대기}{끝}	시시하군… 죽인다
03499B	22	た゛いしせ゛んの ために{개행}まけられない。{대기}{끝}	대자연을 위해 질 수 없다
0349B2	23	あなたの その き{개행}おに と おなし゛よ<8A>{대기}{끝}	당신의 그 기운 귀신과 같아
0349CA	31	あまくみないて゛<8A> もう{개행}こと゛も し゛<4D>ないんた゛から。{대기}{끝}	얕보지 마 이제 애가 아니니까
0349EA	31	あなたの あたま あたしの{개행}コンルて゛ ひやしてあけ゛る。{대기}{끝}	당신 머리 내 콘루로 식혀줄게
034A0A	24	なんひ<93>とも かけ゛ きること{개행}かなわし゛。{대기}{끝}	누구도 그림자조차 벨 수 없다
034A23	29	い<50>さい かいくう{개행}つねに このよは むし゛<4F>うなり。{대기}{끝}	일체개공 세상은 늘 무상하니라
034A41	34	おれは おれのためし゛<4D>ない{개행}せいき゛のために たたかうんた゛<8A>{대기}{끝}	난 나를 위해서가 아니라/정의를 위해 싸운다
034A64	31	せいき゛ なき ちからは{개행}ほ゛うり<4F>くに すき゛ないせ゛<8A>{대기}{끝}	정의 없는 힘은 폭력일 뿐
034A84	18	あなたは おに<47> し<50>ているの<91>{대기}{끝}	당신은 귀신을 알고 있나요
034A97	23	おしえてよ{개행}しんし゛つの おに <47>、、、。{대기}{끝}	가르쳐줘 진실의 귀신을…
034AAF	28	われは きたれり。{개행}わか゛はんしんに みちひ゛かれ。{대기}{끝}	내가 왔노라 내 반신에 이끌리어
034ACC	26	たたかう いしは われのものか{개행}あるいは、、、。{대기}{끝}	싸울 의지는 내 것인가 아니면…
034AE7	24	ヌン<87><8A><8A> われ いまこそ{개행}おに と なる。{대기}{끝}	느음… 나 이제 귀신이 되리라
034B00	35	きさまにも きさ゛みつけてやる<8A>{개행}むけ゛んり<4E>うの たちすし゛<47><8A>{대기}{끝}	네놈에게도 새겨주마/무한류의 칼자국을
034B24	9	、、、、、、。{대기}{끝}	……
034B2E	26	おぬしの うて゛まえ{개행}ためさせて いたた゛こう。{대기}{끝}	그대의 솜씨 시험해 보겠소
034B49	23	し゛<4D>くはいものは{개행}ここまて゛にいたせい<8A>{대기}{끝}	애송이는 여기까지다
034B61	22	あなたし゛<4D> ないの。{개행}しんて゛、、、。{대기}{끝}	당신은 아니야 죽어…
034B78	27	わたしか゛ほしいのは{개행}あの おとこ た゛け、、、。{대기}{끝}	내가 원하는 건 그 사내뿐…
034E2C	27	われこそか゛ あたらしき よ の{개행}ことわり なり。{대기}{끝}	내가 곧 새 세상의 이치니라
034E48	31	そして、なけ゛き かなしむことか゛{개행}ひとの さた゛めなり<8A>{대기}{끝}	탄식과 슬픔이 인간의 숙명
034E68	18	われに さからう{개행}おろかものよ。{대기}{끝}	내게 거스르는 어리석은 자여
034E7B	32	なんし゛に し と き<4F>うふ の{개행}は゛つ<47> あたえようそ゛<8A>{대기}{끝}	그대에게 죽음의 벌을 내리리라
034F21	34	また゛そ゛、、、けか゛れき<50>た{개행}よ <47> し゛<4F>うかするまて゛は。{대기}{끝}	아직이다… 더럽혀진/세상을 정화할 때까지는
034F68	6	か゛<50><8A>{대기}{끝}	커헉
034F76	18	そんなはす゛は ないのに、、、。{대기}{끝}	그럴 리가 없거늘…
034FB9	28	やふ゛れて なお、つよか゛る{개행}なと゛ みく゛るしい<8A>{대기}{끝}	패하고도 허세라니 볼썽사납군
034FD6	25	き<4F>うし<4D>は かたるに{개행}ことは゛ つかわす゛<8A>{대기}{끝}	강자는 말로 논하지 않는 법
034FF0	29	おのれの わさ゛ にて{개행}こころさ゛し<47> あらわせい<8A><8A>{대기}{끝}	제 기예로 뜻을 드러내 보여라
0350EB	35	おめえは おれか゛ かならす゛{개행}たおす<8A> ハツ゛キのためになあ<8A><8A>{대기}{끝}	너는 내가 반드시 쓰러뜨린다/하즈키를 위해서라도
03510F	33	おろかものめ、、、。 わたしか゛{개행}まける はす゛か゛なかろう。{대기}{끝}	어리석은 놈…/내가 질 리가 없지
035131	24	おもしれえ。{개행}おに たいし゛と いくかあ<8A><8A>{대기}{끝}	재미있군 귀신 퇴치나 가볼까
03514A	27	おに た゛ と。 きにいらんな。{개행}、、、コロす<8A><8A>{대기}{끝}	귀신이라고 맘에 안 드는군/죽인다
035166	31	しせ゛ん<47> くるわす おに の{개행}き、、、。 ゆるせないわ<8A>{대기}{끝}	자연을 미치게 하는 귀신의 기운/용서 못 해
035186	26	そんな こわいかお しても{개행}あたし まけないよ<8A>{대기}{끝}	무서운 얼굴 해도 난 안 져
0351A1	29	かつての ともよ。 このてて゛{개행}よみ へおくろうそ゛<8A>{대기}{끝}	옛 벗이여 이 손으로/저승에 보내주마
0351BF	26	おに て゛も あく て゛も{개행}おれか゛ たおす<8A><8A>{대기}{끝}	귀신이든 악이든 내가 쓰러뜨린다
0351DA	27	なせ゛、、、。{개행}と゛こかて゛ あ<50>たような、、、。{대기}{끝}	어째서… 어디선가 만난 듯한…
0351F6	34	おろかな、、、おに こ゛ときか゛{개행}われに かてると おもうてか。{대기}{끝}	어리석구나 귀신 따위가/나를 이길 줄 알았느냐
035219	31	このよに むけ゛んり<4E>う は{개행}ふたつと いらぬ<8A> しね<8A><8A>{대기}{끝}	무한류는 둘도 필요 없다/죽어라
035239	9	、、、、、、。{대기}{끝}	……
035243	36	ふ<50>ふ<50>ふ<50>、こ゛うきな ことよ。{개행}わか゛ もんか に ほしいのう。{대기}{끝}	후후후 대담하구나/내 문하에 두고 싶군
035268	30	あなたし゛<4D>ないの。{개행}さ゛んねん た゛けと゛、しんて゛<8A>{대기}{끝}	당신이 아니야/아쉽지만 죽어줘
03573D	32	や<50>たせ゛ハツ゛キ<8A>これて゛{개행}おめえも すくわれるな、、、。{대기}{끝}	해냈다 하즈키 이걸로/너도 구원받겠지…
03575E	26	よくや<50>た、、、{개행}と ほめてやりたいか゛、、、。{대기}{끝}	잘했다 칭찬해주고 싶다만…
035779	30	わすれたわけて゛は あるまい<91>{개행}ぬけにん の おきて<47>。{대기}{끝}	잊지는 않았겠지/탈주자의 계율을
035798	30	わか<50>てるせ゛、、、あにき。{개행}、、、かくこ゛しやか゛れ<8A>{대기}{끝}	알고 있소… 형님/각오하시오
0357B7	30	このていと゛の おとこか゛{개행}け゛んき<4F>う とは、、、、。{대기}{끝}	이 정도 사내가 원흉이라니…
0357D6	19	あにき<8A>{개행}たおしちま<50>たんた゛な<8A>{대기}{끝}	형님 쓰러뜨렸군
0357EA	31	た゛か゛、おれたちか゛こうして{개행}て゛あ<50>ちま<50>たら、、、。{대기}{끝}	허나 우리가 이렇게 마주쳤으니…
03580A	21	たた゛し゛<4D>{개행}おわれねえ、、、た゛ろ<91>{대기}{끝}	그냥은 못 끝나겠지
035820	26	おろかものか゛、、、。{개행}てま<47> かけさせお<50>て。{대기}{끝}	어리석은 것…/손이 많이 가는군
03583B	28	この おとこ、、、{개행}まさに おに た゛<50>たな、、、。{대기}{끝}	이 사내… 실로 귀신이었군…
035858	23	さすか゛は おれか゛{개행}みこんた゛やつよ<8A><8A>{대기}{끝}	역시 내가 눈여겨본 놈이군
035870	13	うて゛<47> あけ゛たな。{대기}{끝}	솜씨가 늘었군
03587E	32	た゛か゛それもここまて゛、、、{개행}おれか゛ きさま<47> コロす<8A>{대기}{끝}	허나 거기까지다…/내가 네놈을 죽인다
03589F	17	わらわせんな<8A> きやか゛れ<8A><8A>{대기}{끝}	웃기지 마라 덤벼라
0358B1	19	つまらん、、、{개행}このていと゛とは。{대기}{끝}	시시하군… 이 정도라니
0358C5	24	うて゛<47> あけ゛たな。{개행}け゛んし゛<4E>うろう。{대기}{끝}	솜씨가 늘었군 겐쥬로
0358DE	28	た゛か゛、おれには と゛うかな<91>{개행}ためしてみるかい<91>{대기}{끝}	내게도 통할까 시험해 볼 텐가
0358FB	16	、、、なまいきな<8A> コロす<8A>{대기}{끝}	건방지군 죽인다
03590C	15	かわいそうな ひと、、、。{대기}{끝}	가엾은 사람…
03591C	17	てき に なさけ<47> かけるか。{대기}{끝}	적에게 정을 베푸는가
03592E	29	ふん、あまいやつよ。{개행}きにいらん<8A> きさま<47> コロす<8A>{대기}{끝}	훗 물러터진 놈이군/맘에 안 든다 네놈을 죽인다
03594C	30	あなたのような ひとか゛{개행}しせ゛ん<47> かなしませるのよ<8A>{대기}{끝}	당신 같은 사람이/자연을 슬프게 하는 거야
03596B	24	や<50>たあ<8A>{개행}あたしにも て゛きたんた゛あ<8A><8A>{대기}{끝}	해냈다 나도 할 수 있었어
035984	25	くくく、こむすめにしては{개행}よくや<50>たものた゛。{대기}{끝}	크크 계집아이치곤 제법이군
03599E	17	た゛か゛ それも ここまて゛。{대기}{끝}	허나 거기까지다
0359B0	29	おれと て゛あ<50>たこと<47>{개행}ふこう に おもうか゛いい<8A>{대기}{끝}	나와 마주친 걸 불행이라 여겨라
0359CE	29	ハ゛カにしないて゛<8A>{개행}せ゛<50>たい まけないんた゛から<8A>{대기}{끝}	바보 취급 마/절대 지지 않아
0359EC	32	あわれなり。こころの なか の{개행}おに に きか゛つかぬとは。{대기}{끝}	가엾구나 마음속의/귀신을 알아채지 못하다니
035A0D	27	た゛れもか゛ こころに{개행}おに <47> すまわせておる。{대기}{끝}	누구나 마음에 귀신을 품고 산다
035A29	29	わしの なかの おに も{개행}また、しかり。 おぬしとて。{대기}{끝}	내 안의 귀신도 매한가지/그대 또한 그러하리
035A47	13	、、、たしかに、、、。{대기}{끝}	…과연…
035A55	33	これて゛ あく は たおした<8A>{개행}それにしても、つよか<50>たなあ。{대기}{끝}	이걸로 악은 쓰러뜨렸다/그건 그렇고 강했었지
035A77	18	ほう、おに <47> しのく゛ とは。{대기}{끝}	호오 귀신을 능가하다니
035A8A	22	ここはひとつ{개행}てあわせ<47> ねか゛おうか<8A>{대기}{끝}	여기서 한 수 겨뤄봄이 어떤가
035AA1	30	やめときな<8A> し゛<4F>うた゛ん{개행}て゛も、ゆるせないせ゛<8A><8A>{대기}{끝}	그만둬라/농담이라도 용서 못 한다
035AC0	19	ああ、、、ほ゛くは{개행}い<50>たい、、、{대기}{끝}	아… 난 대체…
035AD4	21	ほ゛うす゛<8A>{개행}た゛いし゛<4F>うふ゛か<91><8A>{대기}{끝}	꼬마 괜찮으냐
035AEA	27	、、、<91> おい、ほ゛うす゛<8A>{개행}と゛うしたんた゛<91><8A>{대기}{끝}	이봐 꼬마/어찌 된 거냐
035B06	30	ああ、、、もしかしたら、、、{개행}ほ゛く し゛しんか゛、、、{대기}{끝}	아… 어쩌면…/나 자신이…
035B25	17	、、、おに、、、なのか、、、。{대기}{끝}	…귀신… 인가…
035B37	28	おに といえと゛も、しせる{개행}まつろは あわれ、、、。{대기}{끝}	귀신이라 해도/죽어가는 말로는 가엾구나
035B54	24	なにゆえ、きさまか゛いきておる<8A>{개행}こたえよ<8A>{대기}{끝}	어찌하여 네놈이 살아있느냐/대답하라
035B6D	26	なにゆえ、そのようなすか゛た<47>{개행}しておるのた゛<8A>{대기}{끝}	어찌하여 그런 모습을 하고 있나
035B88	13	われは、あまくさ、、、{대기}{끝}	나는 아마쿠사…
035B96	22	てん の ことわり<47>{개행}くつか゛えし、、、{대기}{끝}	하늘의 이치를 뒤엎고…
035BAD	19	し してなお{개행}よ にあるものなり。{대기}{끝}	죽고도 이 세상에 남은 자니라
035BC1	26	ハ゛カものめか゛<8A><8A>{개행}われ<47> かたるなと゛とは。{대기}{끝}	어리석은 것/감히 나를 사칭하다니
035BDC	14	ああ、、、あなたは、、、{대기}{끝}	아… 당신은…
035BF1	14	あなたは、ほ゛くの、、、{대기}{끝}	당신은 나의…
035C00	18	もんと゛うむよう<8A>{개행}ゆくそ゛<8A><8A>{대기}{끝}	문답무용 간다
035C13	25	はか゛ねふり こころかなしき{개행}おにやらい、、、{대기}{끝}	쇠붙이 흩날리고/서글픈 귀신몰이…
035C2D	23	あいかわらす゛、みこ゛と{개행}なもんた゛ねえ。{대기}{끝}	여전히 대단한 솜씨로군
035C45	18	いまいちと゛ みせてもらえねえか{대기}{끝}	한 번 더 보여주지 않겠나
035C58	9	、、、、、、。{대기}{끝}	……
035C62	33	なんとも、すさまし゛き わさ゛{개행}まさに、きし゛ん のこ゛とし<8A>{대기}{끝}	실로 무시무시한 솜씨/그야말로 귀신 같구나
035C84	28	その うて゛まえ、さすか゛は{개행}し゛<4E>うへ゛いと゛の。{대기}{끝}	그 솜씨 과연 쥬베이 공이오
035CA1	29	されは゛ せ<50>し<4D>と ひとつ{개행}てあわせ<47>ねか゛いたい。{대기}{끝}	그렇다면 소생과/한 수 겨루고 싶소
035CBF	17	おぬしほと゛の うて゛ならは゛{대기}{끝}	그대만한 솜씨라면
035CD1	24	ねか゛<50>てもない もうして゛{개행}というものよ<8A>{대기}{끝}	바라마지 않던 청이로군
035CEA	14	、、、もろいのね、、、。{대기}{끝}	…무르구나…
035CF9	12	なんた゛ これは<91><8A>{대기}{끝}	이게 대체 뭐냐
035D06	15	てめえは い<50>たい、、、。{대기}{끝}	네놈은 대체…
035D16	21	おそか<50>たわね、、、。{개행}、、、きて<8A><8A>{대기}{끝}	늦었군요…/…이리 와
01038D	16	よし<50><8A>{개행}いくせ゛ ハツ゛キ<8A><8A>	좋았어 간다 하즈키
01039E	27	あまいて゛すね。{개행}そうは おもいませんか<91> カツ゛キ。	물러터졌군요/그리 생각지 않나 카즈키
0103BA	23	<50>しやああ<8A>{개행}いい し<4F>うふ゛ た゛<50>たせ゛<8A>	좋았다 좋은 승부였다
0103D2	7	あほ<81>か゛<8A><8A>	이 얼빠진 놈
0103DA	18	た゛いしせ゛ん の{개행}おしおきて゛す。	대자연의 벌입니다
0103ED	18	た゛いしせ゛ん の{개행}おしおきた゛よ。	대자연의 벌이야
010400	10	やみ に め<50>せよ<8A>	어둠 속에 스러져라
01040B	26	シ゛<84>ステ<80>ス の し<4F>うりた゛<8A>{개행}さあ いくせ゛<8A>	정의의 승리다/자 간다
010426	24	ほ゛くには こうするしか{개행}なか<50>たんた゛<8C><8C><8C>。	나는 이럴 수밖에 없었어…
01043F	35	なんし゛の たましい。 あたらしい{개행}よ の いしす゛えに なろうそ゛<8A>	그대의 영혼이여/새 세상의 주춧돌이 되어라
010463	16	われ すなわち{개행}むけ゛ん なり<8A>	나는 곧 무한이니라
010474	24	<8C><8C><8C><8C><8C><8C>。{개행}<8C><8C><8C><8C><8C><8C>けい と゛の<8C><8C><8C>。	……/……공……
01048D	24	これにて い<50>けんらくち<4D>く<8A>{개행}わ<50>は<50>は<50>は<8A>	이걸로 일단락이군/와하하하하
0104A6	21	もう よう は ないわ<8C><8C><8C>。{개행}さよなら。	이제 볼일은 없어…/잘 가
